id,english_text,kinyarwanda_text,approved_term,notes_for_translator,status
1,Home,Ahabanza,,,todo
2,Rounds,Gutanga raporo,,,todo
3,Mortality,Mortality,,,todo
4,Feed,Ibiryo,,,todo
5,Action center,Action center,,,todo
6,My earnings,Amafaranga nakoreye,,,todo
7,Round schedule,Gahunda yo gutanga raporo,,,todo
8,Sign out,Gusohoka,,,todo
9,Farm / Poultry,Ikiraro / Inkoko,,,todo
10,Laborer,Umukozi,,,todo
11,Menu,Menu,,,todo
12,Language,Ururimi,,,todo
13,Close navigation,Funga menu,,,todo
14,Field operations hub,Imirimo yo ku kiraro,,,todo
15,Junior vet hub,Imirimo ya Junior Vet,,,todo
16,"Track rounds, flock health, and urgent work.","Kurikirana raporo, ubuzima bw'inkoko, n'ibikorwa byihutirwa.",,,todo
17,Daily tasks optimized for your phone.,Imirimo ya buri munsi yoroheye telefone yawe.,,,todo
18,Round check-in,Gutanga raporo,,,todo
19,Log mortality,Kwerekana inkoko zapfuye,,,todo
20,Feed log,Raporo y'ibiryo,,,todo
21,No flock available,Nta itsinda ry'inkoko (flock) ririho,,,todo
22,Round status appears when a flock is assigned to your site.,Imiterere ya Raporo igaragara iyo itsinda ry'inkoko rishyizwe aho ukorera.,,,todo
23,Preparing round check-in status…,Turimo gutegura aho utangira raporo…,,,todo
24,Could not load round check-in. Try again.,Gutanga raporo byanze. Ongera ugerageze.,,,todo
25,No round schedule available right now.,Nta gahunda ya rounds ihari ubu.,,,todo
26,Round check-in is overdue by,Wakererewe gutanga raporo,,,todo
27,minutes. Inspect the flock now.,minuta. Genzyura inkoko ubu.,,,todo
28,You are on track.,Uri ku gihe.,,,todo
29,About,Ibisobanuro,,,todo
30,minutes until the next round.,Iminoto ibura kuri raporo itaha.,,,todo
31,flocks need check-in — details below for the most overdue.,amatsinda y'inkoko akeneye gutangirwa raporo— amakuru ari hano hasi kubakererewe cyane.,,,todo
32,Try again,Ongera ugerageze,,,todo
33,Flock,Itsinda ry’inkoko,,,todo
34,Photos required • confirm feed & water available • optional birds lost,Amafoto arakenewe • emeza ko ibiryo n'amazi bihari • inkoko zapfuye (si itegeko),,,todo
35,Feed is available,Ibiryo bihari,,,todo
36,Water is available,Amazi ahari,,,todo
37,Birds lost at this check-in (optional),Inkoko zapfuye Igihe cy’iyi raporo (si itegeko),,,todo
38,Also file in mortality log (affects live count),Bishyire no muri raporo y'izapfuye (bihindura umubare w'iziriho),,,todo
39,Notes,Ibindi wavuga,,,todo
40,Saving…,Birimo kubikwa...,,,todo
41,Submit round check-in,Ohereza raporo,,,todo
42,Round check-in saved.,Raporo yabitswe.,,,todo
43,Save failed,Kubika byanze,,,todo
44,Add a flock before submitting round check-ins.,Hitamo itsinda ry'inkoko (flock) mbere yo gutanga raporo.,,,todo
45,FCR,FCR,,,todo
46,Dismiss,Kuraho,,,todo
47,Log feed only (no photos),Andika ibiryo gusa (nta mafoto),,,todo
48,Round check-in submitted successfully.,Raporo byoherejwe neza.,,,todo
49,Next due:,Raporo itaha:,,,todo
